0_1 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
0_2 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
0_4 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
0_7 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
0_8 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
0_12 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
0_13 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
0_14 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
0_15 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
0_17 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
0_18 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
0_19 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
0_22 ['Residential', 'Residential', 'Residential', 'Residential', 'Residential', 'Residential']
0_23 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
0_26 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
0_28 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
0_30 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
0_31 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
0_33 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
0_34 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
0_35 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
0_36 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
0_38 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
0_39 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
0_40 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
0_41 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
0_42 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
0_43 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
0_44 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
0_47 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
0_48 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
0_49 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
0_51 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
0_55 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
0_56 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
0_58 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
0_59 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
0_60 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
0_62 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
0_66 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
0_68 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
0_71 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
0_74 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
0_76 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
0_77 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
1_0 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
1_4 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
1_6 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
1_9 ['Residential', 'Residential', 'Residential', 'Residential', 'Residential', 'Residential']
1_10 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
1_11 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
1_13 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
1_14 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
1_15 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
1_26 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
1_29 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
1_30 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
1_33 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
1_44 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
1_45 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
1_46 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
1_48 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
1_49 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
1_50 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
1_51 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
1_52 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
1_54 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
1_55 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
1_56 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
1_57 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
1_58 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
1_59 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
1_61 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
1_62 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
1_63 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
1_65 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
1_66 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
1_68 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
1_72 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
1_73 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
1_74 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
1_75 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
2_4 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
2_5 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
2_10 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
2_11 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
2_12 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
2_13 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
2_14 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
2_15 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
2_16 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
2_20 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
2_22 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
2_23 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
2_26 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
2_27 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
2_30 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
2_32 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
2_33 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
2_36 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
2_37 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
2_44 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
2_45 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
2_47 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
2_48 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
2_51 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
2_52 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
2_53 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
2_54 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
2_55 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
2_56 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
2_57 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
2_59 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
2_62 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
2_63 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
2_64 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
2_65 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
2_66 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
2_71 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
2_73 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
2_74 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
2_75 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
2_77 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
3_1 ['Rural', 'Rural', 'Rural', 'Rural', 'Rural', 'Rural']
3_2 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
3_4 ['Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland', 'Farmland']
3_9 ['Residential', 'Residential', 'Residential', 'Residential', 'Residential', 'Residential']
3_10 ['Residential', 'Residential', 'Residential', 'Residential', 'Residential', 'Residential']
3_15 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
3_16 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
3_17 ['RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake', 'RiverLake']
3_22 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
3_27 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
3_28 ['Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial', 'Industrial']
3_32 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
3_33 ['Woods', 'Woods', 'Woods', 'Woods', 'Woods', 'Woods']
